estimator,data_size,iteration,predict_time,fit_time,predict_time_single
bxt_gmo,10,0,886874.0,4830950.0,
uniform_bxt_bgso,10,0,985174.0,4271879.0,
bxt_bgso,12,2,955250.0,4750158.0,978750.0
bxt_bgso,10,0,960841.0,4204699.0,915260.0
bxt_gmo,12,2,937195.0,3813583.0,
bxt_bgso,11,1,748889.0,4251328.0,727764.0
uniform_bxt_bgso,11,1,844167.0,4292977.0,
bxt_gmo,11,1,902633.0,4809876.0,
uniform_bxt_bgso,12,2,975585.0,3866542.0,
bxt_bgso,13,3,770655.0,3615107.0,790322.0
bxt_gmo,13,3,958089.0,4895185.0,
uniform_bxt_bgso,13,3,848288.0,2716364.0,
bxt_bgso,14,4,1033465.0,3851843.0,1145768.0
bxt_gmo,14,4,897122.0,3825647.0,
uniform_bxt_bgso,14,4,824982.0,3686857.0,
bxt_bgso,16,5,826849.0,4283758.0,982994.0
bxt_gmo,16,5,848652.0,4362076.0,
uniform_bxt_bgso,16,5,978340.0,3238355.0,
bxt_bgso,17,6,1038618.0,4683864.0,1193745.0
bxt_gmo,17,6,821883.0,4827512.0,
uniform_bxt_bgso,17,6,709385.0,3245266.0,
bxt_bgso,19,7,771976.0,4952765.0,862907.0
bxt_gmo,19,7,842259.0,5436986.0,
uniform_bxt_bgso,19,7,723299.0,2635186.0,
bxt_bgso,21,8,734659.0,5500471.0,888321.0
bxt_gmo,21,8,841782.0,6247382.0,
uniform_bxt_bgso,21,8,932190.0,2887755.0,
bxt_bgso,23,9,900003.0,6804664.0,1372436.0
bxt_gmo,23,9,756992.0,6269541.0,
uniform_bxt_bgso,23,9,768753.0,2863350.0,
bxt_bgso,25,10,803709.0,7345491.0,1343477.0
bxt_gmo,25,10,894350.0,8067409.0,
uniform_bxt_bgso,25,10,818737.0,3165647.0,
bxt_bgso,28,11,878916.0,9261902.0,1437833.0
bxt_gmo,28,11,958258.0,9651996.0,
uniform_bxt_bgso,28,11,769366.0,2861994.0,
bxt_bgso,31,12,1034820.0,11530867.0,1659613.0
bxt_gmo,31,12,857408.0,12246814.0,
uniform_bxt_bgso,31,12,616856.0,2813804.0,
bxt_bgso,34,13,990067.0,13623005.0,2138381.0
bxt_gmo,34,13,942262.0,15972006.0,
uniform_bxt_bgso,34,13,608571.0,3170605.0,
bxt_bgso,37,14,839715.0,17218069.0,1978745.0
bxt_gmo,37,14,1048576.0,19236306.0,
uniform_bxt_bgso,37,14,804563.0,3795644.0,
bxt_bgso,41,15,1091046.0,21345945.0,2573639.0
bxt_gmo,41,15,903390.0,23724916.0,
uniform_bxt_bgso,41,15,817282.0,3645182.0,
bxt_bgso,45,16,1044334.0,26713189.0,3266448.0
bxt_gmo,45,16,870150.0,30690769.0,
uniform_bxt_bgso,45,16,826788.0,4176402.0,
bxt_bgso,50,17,1125164.0,33995306.0,3865945.0
bxt_gmo,50,17,1146070.0,40231876.0,
uniform_bxt_bgso,50,17,914895.0,4300812.0,
bxt_bgso,55,18,1090981.0,45618306.0,5634051.0
bxt_gmo,55,18,1046933.0,54901697.0,
uniform_bxt_bgso,55,18,704368.0,4604915.0,
bxt_bgso,61,19,1250112.0,61371767.0,5896043.0
bxt_gmo,61,19,1397043.0,70637225.0,
uniform_bxt_bgso,61,19,1063353.0,5690046.0,
bxt_bgso,67,20,1159480.0,81669962.0,7181956.0
bxt_gmo,67,20,1162270.0,93539067.0,
uniform_bxt_bgso,67,20,787554.0,6306066.0,
bxt_bgso,74,21,1166209.0,102238419.0,10401147.0
bxt_gmo,74,21,1321329.0,121544822.0,
uniform_bxt_bgso,74,21,929676.0,7844198.0,
bxt_bgso,81,22,1437821.0,130486079.0,13930203.0
bxt_gmo,81,22,1488376.0,160987456.0,
uniform_bxt_bgso,81,22,856485.0,9094151.0,
bxt_bgso,89,23,1473943.0,169878541.0,16027590.0
bxt_gmo,89,23,1856118.0,206498391.0,
uniform_bxt_bgso,89,23,874188.0,11084346.0,
bxt_bgso,98,24,1767859.0,240048008.0,21953693.0
bxt_gmo,98,24,1999360.0,275061796.0,
uniform_bxt_bgso,98,24,832610.0,14330967.0,
bxt_bgso,108,25,1841236.0,297601148.0,28454887.0
bxt_gmo,108,25,2025955.0,373547925.0,
uniform_bxt_bgso,108,25,912804.0,17976695.0,
bxt_bgso,119,26,2141387.0,424336372.0,39359718.0
bxt_gmo,119,26,3465068.0,502371595.0,
uniform_bxt_bgso,119,26,1059969.0,22838953.0,
bxt_bgso,131,27,2218015.0,561798433.0,49328046.0
bxt_gmo,131,27,2874304.0,663457966.0,
uniform_bxt_bgso,131,27,1039445.0,29691845.0,
bxt_bgso,144,28,3141333.0,712135736.0,71510718.0
bxt_gmo,144,28,3916237.0,870301952.0,
uniform_bxt_bgso,144,28,1066370.0,39877724.0,
bxt_bgso,158,29,2883336.0,903844101.0,80183518.0
bxt_gmo,158,29,4755401.0,1138500123.0,
uniform_bxt_bgso,158,29,1896312.0,51158656.0,
bxt_bgso,174,30,3901502.0,1206161118.0,106066249.0
bxt_gmo,174,30,4837867.0,1539320740.0,
uniform_bxt_bgso,174,30,1223263.0,65615280.0,
bxt_bgso,191,31,5297387.0,1678938990.0,149008825.0
bxt_gmo,191,31,5468130.0,2066982026.0,
uniform_bxt_bgso,191,31,1370681.0,85039506.0,
bxt_bgso,211,32,4762004.0,2094988602.0,195892136.0
bxt_gmo,211,32,11447898.0,2748622819.0,
uniform_bxt_bgso,211,32,1704568.0,114807000.0,
bxt_bgso,232,33,5941322.0,2798717939.0,228138647.0
bxt_gmo,232,33,8064885.0,3593547908.0,
uniform_bxt_bgso,232,33,1783591.0,154809381.0,
bxt_bgso,255,34,8621566.0,3744909028.0,332518849.0
bxt_gmo,255,34,9208318.0,4820355171.0,
uniform_bxt_bgso,255,34,2219853.0,199475890.0,
bxt_bgso,281,35,9871670.0,4953328407.0,440873606.0
bxt_gmo,281,35,10937552.0,6470114293.0,
uniform_bxt_bgso,281,35,4167232.0,271588517.0,
bxt_bgso,309,36,15478300.0,6511104143.0,575300749.0
bxt_gmo,309,36,14155222.0,8605686199.0,
uniform_bxt_bgso,309,36,2798090.0,349659157.0,
bxt_bgso,340,37,15024917.0,8658380181.0,721915451.0
bxt_gmo,340,37,16174328.0,11688747247.0,
uniform_bxt_bgso,340,37,3471297.0,490395660.0,
bxt_bgso,374,38,21633178.0,11476937448.0,1035699971.0
uniform_bxt_bgso,374,38,3464402.0,605860999.0,
uniform_bxt_bgso,411,39,4744273.0,825042678.0,
uniform_bxt_bgso,452,40,4556861.0,1059997529.0,
uniform_bxt_bgso,497,41,7487441.0,1453814019.0,
uniform_bxt_bgso,547,42,7558186.0,1925559557.0,
bxt_gmo,10,0,909195.0,4302697.0,
uniform_bxt_bgso,11,1,1010727.0,4585467.0,
bxt_gmo,11,1,869210.0,4730236.0,
bxt_bgso,11,1,807586.0,4476962.0,715917.0
uniform_bxt_bgso,10,0,992984.0,3982569.0,
bxt_bgso,10,0,941294.0,4323816.0,874459.0
dwnn_similarities_bxt_bgso,10,0,887746.0,4182953.0,
bxt_bgso_kronrls,10,0,901128.0,3803332.0,
dwnn_similarities_bxt_bgso,11,1,977731.0,4218678.0,
bxt_bgso,12,2,930057.0,3684812.0,1001669.0
bxt_gmo,12,2,760842.0,3433667.0,
uniform_bxt_bgso,12,2,679647.0,2681038.0,
bxt_bgso_kronrls,11,1,860205.0,4050924.0,
bxt_bgso_kronrls,12,2,738308.0,2596108.0,
dwnn_similarities_bxt_bgso,12,2,843680.0,3227487.0,
bxt_bgso,13,3,1050765.0,3948248.0,1103425.0
bxt_gmo,13,3,746273.0,3480861.0,
uniform_bxt_bgso,13,3,685504.0,2926676.0,
bxt_bgso_kronrls,13,3,782763.0,2716968.0,
dwnn_similarities_bxt_bgso,13,3,734880.0,2475332.0,
bxt_bgso,14,4,788840.0,3598742.0,930400.0
bxt_gmo,14,4,905506.0,4096355.0,
uniform_bxt_bgso,14,4,614524.0,2588430.0,
bxt_bgso_kronrls,14,4,773121.0,2856754.0,
dwnn_similarities_bxt_bgso,14,4,864944.0,2770167.0,
bxt_bgso,16,5,776232.0,4264039.0,923708.0
bxt_gmo,16,5,847603.0,4475186.0,
uniform_bxt_bgso,16,5,792308.0,2632961.0,
bxt_bgso_kronrls,16,5,884112.0,3222492.0,
dwnn_similarities_bxt_bgso,16,5,732898.0,2839459.0,
bxt_bgso,17,6,907512.0,4376724.0,1113722.0
bxt_gmo,17,6,773842.0,4407252.0,
uniform_bxt_bgso,17,6,784022.0,2858751.0,
bxt_bgso_kronrls,17,6,777822.0,2844107.0,
dwnn_similarities_bxt_bgso,17,6,866115.0,3027089.0,
bxt_bgso,19,7,756748.0,4981336.0,959163.0
bxt_gmo,19,7,730848.0,5284589.0,
uniform_bxt_bgso,19,7,777039.0,2683845.0,
bxt_bgso_kronrls,19,7,670165.0,2721683.0,
dwnn_similarities_bxt_bgso,19,7,744143.0,2718630.0,
bxt_bgso,21,8,759522.0,5774142.0,1075920.0
bxt_gmo,21,8,835144.0,6337130.0,
uniform_bxt_bgso,21,8,850087.0,2689782.0,
bxt_bgso_kronrls,21,8,769404.0,2778207.0,
dwnn_similarities_bxt_bgso,21,8,866802.0,3165106.0,
bxt_bgso,23,9,730640.0,6274444.0,1234915.0
bxt_gmo,23,9,681020.0,6805904.0,
uniform_bxt_bgso,23,9,666773.0,2487153.0,
bxt_bgso_kronrls,23,9,683085.0,2836318.0,
dwnn_similarities_bxt_bgso,23,9,879498.0,2934108.0,
bxt_bgso,25,10,747193.0,7384090.0,1250686.0
bxt_gmo,25,10,848041.0,8167354.0,
uniform_bxt_bgso,25,10,743214.0,2939341.0,
bxt_bgso_kronrls,25,10,624891.0,2839319.0,
dwnn_similarities_bxt_bgso,25,10,699793.0,2854434.0,
bxt_bgso,28,11,860969.0,9460604.0,1328285.0
bxt_gmo,28,11,858703.0,10132072.0,
uniform_bxt_bgso,28,11,729864.0,2942372.0,
bxt_bgso_kronrls,28,11,943293.0,3059543.0,
dwnn_similarities_bxt_bgso,28,11,764663.0,2840772.0,
bxt_bgso,31,12,792223.0,10942913.0,1505917.0
bxt_gmo,31,12,938101.0,12380352.0,
uniform_bxt_bgso,31,12,840049.0,3237602.0,
bxt_bgso_kronrls,31,12,896044.0,3284055.0,
dwnn_similarities_bxt_bgso,31,12,767047.0,3035575.0,
bxt_bgso,34,13,827841.0,13864653.0,1839450.0
bxt_gmo,34,13,832875.0,15648903.0,
uniform_bxt_bgso,34,13,902988.0,3326353.0,
bxt_bgso_kronrls,34,13,790631.0,3378886.0,
dwnn_similarities_bxt_bgso,34,13,738704.0,3102515.0,
bxt_bgso,37,14,838489.0,16228198.0,2114792.0
bxt_gmo,37,14,820659.0,18686901.0,
uniform_bxt_bgso,37,14,763804.0,3397012.0,
bxt_bgso_kronrls,37,14,732425.0,3275614.0,
dwnn_similarities_bxt_bgso,37,14,762839.0,3336106.0,
bxt_bgso,41,15,855073.0,20843885.0,2845272.0
bxt_gmo,41,15,918760.0,23888144.0,
uniform_bxt_bgso,41,15,934010.0,3685943.0,
bxt_bgso_kronrls,41,15,869447.0,3799776.0,
dwnn_similarities_bxt_bgso,41,15,738062.0,3303550.0,
bxt_bgso,45,16,871806.0,25600553.0,2768569.0
bxt_gmo,45,16,1090701.0,31752552.0,
uniform_bxt_bgso,45,16,877326.0,3959511.0,
bxt_bgso_kronrls,45,16,781612.0,3889743.0,
dwnn_similarities_bxt_bgso,45,16,746232.0,3667983.0,
bxt_bgso,50,17,1073769.0,35127318.0,4395619.0
bxt_gmo,50,17,1038740.0,39130212.0,
uniform_bxt_bgso,50,17,775536.0,4272034.0,
bxt_bgso_kronrls,50,17,739386.0,4103044.0,
dwnn_similarities_bxt_bgso,50,17,684496.0,4051992.0,
bxt_bgso,55,18,1033167.0,47636702.0,5143636.0
bxt_gmo,55,18,1126212.0,54123390.0,
uniform_bxt_bgso,55,18,818655.0,4687146.0,
bxt_bgso_kronrls,55,18,812237.0,4937628.0,
dwnn_similarities_bxt_bgso,55,18,701718.0,4693380.0,
bxt_bgso,61,19,1205668.0,59428340.0,6439224.0
bxt_gmo,61,19,1126836.0,71062432.0,
uniform_bxt_bgso,61,19,1067729.0,5488242.0,
bxt_bgso_kronrls,61,19,916714.0,5535454.0,
dwnn_similarities_bxt_bgso,61,19,689301.0,5523004.0,
bxt_bgso,67,20,1120264.0,77492449.0,8315174.0
bxt_gmo,67,20,1216247.0,91054292.0,
uniform_bxt_bgso,67,20,812889.0,6238652.0,
bxt_bgso_kronrls,67,20,764532.0,6451985.0,
dwnn_similarities_bxt_bgso,67,20,820775.0,6623327.0,
bxt_bgso,74,21,1456889.0,101014758.0,9914062.0
bxt_gmo,74,21,1449940.0,122779255.0,
uniform_bxt_bgso,74,21,776195.0,8115734.0,
bxt_bgso_kronrls,74,21,836628.0,8444962.0,
dwnn_similarities_bxt_bgso,74,21,790667.0,7705459.0,
bxt_bgso,81,22,1259842.0,131596660.0,15417172.0
bxt_gmo,81,22,1447625.0,158702171.0,
